epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,482.796,0.31724,4.30598,1.90153,0.64151,0.83951,0.77466,0.53787,0.36462,18.4543,2.24602,0.000297226,0.000297226,0.000297226
168,485.704,0.31043,4.25444,1.91887,0.72449,0.87654,0.83018,0.56676,0.40639,16.6609,2.37114,0.000288974,0.000288974,0.000288974
169,488.58,0.32263,4.24005,1.9456,0.86306,0.74074,0.8662,0.60169,0.39025,12.688,2.33888,0.000280723,0.000280723,0.000280723
170,491.427,0.30848,4.18984,1.91307,0.72549,0.91358,0.8811,0.60797,0.3803,12.2521,2.32154,0.000272471,0.000272471,0.000272471
171,494.269,0.31196,4.21771,1.92676,0.71698,0.93827,0.88769,0.61463,0.41472,12.5209,2.39389,0.00026422,0.00026422,0.00026422
172,497.13,0.31348,4.15625,1.9153,0.85642,0.73645,0.87592,0.62631,0.35836,11.3397,2.20625,0.000255968,0.000255968,0.000255968
173,499.986,0.30335,3.9782,1.87295,0.76087,0.7464,0.83551,0.60165,0.34851,13.6961,2.14607,0.000247716,0.000247716,0.000247716
174,502.862,0.29511,3.96298,1.86996,0.625,0.8642,0.8019,0.56344,0.39459,16.9586,2.20363,0.000239465,0.000239465,0.000239465
175,505.72,0.31013,4.22567,1.8772,0.63636,0.8642,0.79504,0.56391,0.38149,19.0246,2.17207,0.000231213,0.000231213,0.000231213
176,508.583,0.30918,4.24963,1.89369,0.7,0.8642,0.83182,0.57931,0.36919,17.2417,2.20121,0.000222961,0.000222961,0.000222961
177,511.447,0.3108,4.12824,1.92552,0.72449,0.87654,0.84647,0.5913,0.38603,15.253,2.24049,0.00021471,0.00021471,0.00021471
178,514.326,0.30138,4.17271,1.88021,0.72,0.88889,0.85567,0.57948,0.41256,14.2124,2.31691,0.000206458,0.000206458,0.000206458
